Date,Action,Company,Ticker
19-Mar-18,Addition,Ausdrill (ASL),ASL
19-Mar-18,Addition,Bellamy's Australia (BAL),BAL
19-Mar-18,Addition,Smartgroup Corporation (SIQ),SIQ
19-Mar-18,Addition,Xero (XRO),XRO
19-Mar-18,Removal,Australian Agricultural Company (AAC),AAC
19-Mar-18,Removal,HT&E (HT1),HT1
19-Mar-18,Removal,Myer Holdings (MYR),MYR
8-Dec-17,Addition,Lynas Corporation (LYC),LYC
8-Dec-17,Addition,Pilbara Minerals (PLS),PLS
8-Dec-17,Addition,WiseTech (WTC),WTC
8-Dec-17,Removal,FlexiGroup (FXL),FXL
8-Dec-17,Removal,Japara Healthcare (JHC),JHC
8-Dec-17,Removal,Regis Healthcare (REG),REG
6-Dec-17,Removal,Tatts Group (TTS),TTS
7-Nov-17,Addition,Domain Holdings Australia (DHA),DHA
1-Sep-17,Addition,Charter Hall Long Wale (CLW),CLW
1-Sep-17,Addition,NIB Holdings (NHF),NHF
1-Sep-17,Addition,Washington H Soul Pattinson & Company (SOL),SOL
1-Sep-17,Removal,Isentia Group (ISD),ISD
1-Sep-17,Removal,Sky Network Television (SKT),SKT
1-Sep-17,Removal,Virtus Health (VRT),VRT
28-Jul-17,Addition,Ooh!Media (OML),OML
28-Jul-17,Removal,Spotless Group Holdings (SPO),SPO
9-Jun-17,Addition,Speedcast International (SDA),SDA
9-Jun-17,Removal,Bellamy's Australia (BAL),BAL
21-Apr-17,Addition,CNU,CNU
21-Apr-17,Removal,DUE,DUE
9-Dec-16,Addition,Nanosonics (NAN),NAN
9-Dec-16,Removal,OFX Group (OFX),OFX
5-Dec-16,Addition,Viva Energy REIT (VVR),VVR
5-Dec-16,Removal,SAI Global (SAI),SAI
2-Sep-16,Addition,Galaxy Resources (GXY),GXY
2-Sep-16,Addition,Infigen (IFN),IFN
2-Sep-16,Addition,Nextdc (NXT),NXT
2-Sep-16,Addition,Orocobre (ORE),ORE
2-Sep-16,Addition,Resolute Mining (RSG),RSG
2-Sep-16,Addition,Webjet (WEB),WEB
2-Sep-16,Removal,Austal (ASB),ASB
2-Sep-16,Removal,Cover-More Group (CVO),CVO
2-Sep-16,Removal,Mesoblast (MSB),MSB
2-Sep-16,Removal,Programmed Maintenance Services (PRG),PRG
2-Sep-16,Removal,Select Harvests (SHV),SHV
2-Sep-16,Removal,Village Roadshow (VRL),VRL
22-Jul-16,Addition,Asciano (AIO),AIO
22-Jul-16,Removal,Reliance Worldwide Corporation (RWC),RWC
21-Jun-16,Addition,Eclipx Group (ECX),ECX
21-Jun-16,Removal,Pacific Brands (PBG),PBG
17-Jun-16,Addition,NZME (NZM),NZM
10-Jun-16,Addition,The A2 Milk Company (A2M),A2M
10-Jun-16,Removal,Liquefied Natural Gas (LNG),LNG
3-May-16,Addition,Saracen Mineral Holdings (SAR),SAR
3-May-16,Removal,Broadspectrum (BRS),BRS
14-Apr-16,Addition,Iron Mountain Inc. (INM),INM
14-Apr-16,Removal,Recall Holdings (REC),REC
11-Mar-16,Addition,Aconex (ACX),ACX
11-Mar-16,Addition,Bellamy's Australia (BAL),BAL
11-Mar-16,Addition,Brickworks (BKW),BKW
11-Mar-16,Addition,IPH (IPH),IPH
11-Mar-16,Addition,St Barbara (SBM),SBM
11-Mar-16,Removal,AWE (AWE),AWE
11-Mar-16,Removal,Cabcharge Australia (CAB),CAB
11-Mar-16,Removal,Karoon Gas Australia (KAR),KAR
11-Mar-16,Removal,Slater & Gordon (SGH),SGH
11-Mar-16,Removal,Ten Network Holdings (TEN),TEN
4-Feb-16,Addition,Link Administration Holdings (LNK),LNK
4-Feb-16,Removal,Veda Group (VED),VED
1-Feb-16,Removal,M2 Group (MTU),MTU
25-Jan-16,Addition,CYBG PLC (CYB),CYB
4-Dec-15,Addition,(API) Australian Pharmaceutical Industries,API
4-Dec-15,Addition,(APO) APN Outdoor Group,APO
4-Dec-15,Addition,(CGC) Costa Group Holdings,CGC
4-Dec-15,Addition,(ISD) Isentia Group,ISD
4-Dec-15,Addition,(PRG) Programmed Maintenance Services,PRG
4-Dec-15,Removal,(ARI) Arrium,ARI
4-Dec-15,Removal,(CDD) Cardno,CDD
4-Dec-15,Removal,(DLS) Drillsearch Energy,DLS
4-Dec-15,Removal,(DSH) Dick Smith Holdings,DSH
4-Dec-15,Removal,(PDN) Paladin Energy,PDN
4-Sep-15,Addition,(ALU) Altium,ALU
4-Sep-15,Addition,(ASB) Austal,ASB
4-Sep-15,Addition,(BAP) Burson,BAP
4-Sep-15,Addition,(GTY) Gateway Lifestyle,GTY
4-Sep-15,Addition,(MTR) Mantra Group,MTR
4-Sep-15,Addition,(MYO) MYOB Group,MYO
4-Sep-15,Removal,(AGI) Ainsworth Game Technology,AGI
4-Sep-15,Removal,(BKN) Bradken,BKN
4-Sep-15,Removal,(KMD) Kathmandu Holdings,KMD
4-Sep-15,Removal,(MRM) MMA Offshore,MRM
4-Sep-15,Removal,(SXY) Senex Energy,SXY
4-Sep-15,Removal,(UGL) UGL,UGL
3-Sep-15,Addition,(BKL) Blackmores,BKL
3-Sep-15,Removal,(SIR) Sirius Resources,SIR
20-Aug-15,Addition,(BTT) BT Investment Management,BTT
20-Aug-15,Removal,(IIN) iiNet,IIN
5-Jun-15,Addition,(CCP) Credit Corp Group,CCP
5-Jun-15,Addition,(GOZ) Growthpoint Properties Australia,GOZ
5-Jun-15,Addition,(NSR) ￼National Storage REIT,NSR
5-Jun-15,Removal,(SEA) Sundance Energy Australia,SEA
5-Jun-15,Removal,(SGN) STW Communications Group,SGN
5-Jun-15,Removal,(SKE) Skilled Group,SKE
22-May-15,Addition,(FPH) Fisher & Paykel Healthcare Corp.,FPH
22-May-15,Addition,(SHV) Select Harvests,SHV
22-May-15,Removal,(NVN) Novion Property Group,NVN
22-May-15,Removal,(SGT) Singapore Telecommunications,SGT
15-May-15,Removal,(PNA) PanAust,PNA
7-May-15,Addition,(S32) South32,S32
7-May-15,Addition,(MYX) Mayne Pharma Group,MYX
7-May-15,Removal,(TOL) Toll Holdings,TOL
6-Mar-15,Addition,(AAC) Australian Agricultural Company,AAC
6-Mar-15,Addition,(CTD) Corporate Travel Management,CTD
6-Mar-15,Addition,(DSH) Dick Smith Holdings,DSH
6-Mar-15,Addition,(EHE) Estia Health,EHE
6-Mar-15,Addition,(REG) Regis Healthcare,REG
6-Mar-15,Addition,(SYR) Syrah Resources,SYR
6-Mar-15,Removal,(AGO) Atlas Iron,AGO
6-Mar-15,Removal,(BCI) BC Iron,BCI
6-Mar-15,Removal,(BDR) Beadell Resources,BDR
6-Mar-15,Removal,(HZN) Horizon Oil,HZN
6-Mar-15,Removal,(LYC) Lynas Corporation,LYC
6-Mar-15,Removal,(MGX) Mount Gibson Iron,MGX
24-Feb-15,Addition,(MPL) Medibank Private,MPL
24-Feb-15,Removal,(GFF) Goodman Fielder,GFF
5-Dec-14,Addition,(APN) APN News & Media,APN
5-Dec-14,Addition,(VOC) Vocus Communications,VOC
5-Dec-14,Removal,(MML) Medusa Mining,MML
5-Dec-14,Removal,(RSG) Resolute Mining,RSG
8-Oct-14,Addition,(HSO) Healthscope,HSO
8-Oct-14,Removal,(WTF) Wotif.com Holdings,WTF
5-Sep-14,Addition,(AHY) Asaleo,AHY
5-Sep-14,Addition,(LNG) Liquefied Natural Gas,LNG
5-Sep-14,Addition,(TNE) Technology One,TNE
5-Sep-14,Removal,(BRU) Buru Energy,BRU
5-Sep-14,Removal,(NWH) NRW Holdings,NWH
5-Sep-14,Removal,(TRS) The Reject Shop,TRS
15-Aug-14,Addition,(GMA) Genworth Mortgage Insurance Australia,GMA
15-Aug-14,Removal,(ALZ) Australand Property Group,ALZ
8-Aug-14,Addition,(SPO) Spotless Group Holdings,SPO
8-Aug-14,Removal,(ENV) Envestra,ENV
14-Jul-14,Addition,(GXL) Greencross,GXL
14-Jul-14,Removal,(DJS) David Jones,DJS
7-Jul-14,Addition,(JHC) Japara Healthcare,JHC
7-Jul-14,Removal,(AQA) Aquila Resources,AQA
6-Jun-14,Addition,(TGR) Tassal Group,TGR
6-Jun-14,Removal,(ACR) Acrux,ACR
20-May-14,Addition,(SDF) Steadfast Group,SDF
20-May-14,Removal,(AUT) Aurora Oil & Gas,AUT
23-Apr-14,Addition,(SEA) Sundance Energy Australia,SEA
23-Apr-14,Removal,(FOX) Twenty-First Century Fox,FOX
7-Mar-14,Addition,(AGI) Ainsworth Game Technology,AGI
7-Mar-14,Addition,(ARP) ARB Corporation,ARP
7-Mar-14,Addition,(BGA) Bega Cheese,BGA
7-Mar-14,Addition,(CVO) Cover-More Group,CVO
7-Mar-14,Addition,(OFX) Ozforex Group,OFX
7-Mar-14,Addition,(PGH) Pact Group Holdings,PGH
7-Mar-14,Addition,(VED) Veda Group,VED
7-Mar-14,Removal,(AQG) Alacer Gold Corporation,AQG
7-Mar-14,Removal,(ASL) Ausdrill,ASL
7-Mar-14,Removal,(DCG) Decmil Group,DCG
7-Mar-14,Removal,(EWC) Energy World Corporation,EWC
7-Mar-14,Removal,(SLR) Silver Lake Resources,SLR
7-Mar-14,Removal,(SMX) SMS Management & Technology,SMX
7-Mar-14,Removal,(VAH) Virgin Australia Holdings,VAH
12-Feb-14,Addition,(NEC) Nine Entertainment Co. Holdings,NEC
12-Feb-14,Removal,(FGE) Forge Group,FGE
10-Dec-13,Addition,(ORA) Orora,ORA
10-Dec-13,Removal,(PRU) Perseus Mining,PRU
6-Dec-13,Addition,(BCI) BC Iron,BCI
6-Dec-13,Addition,(RFG) Retail Food Group,RFG
6-Dec-13,Addition,(SGH) Slater & Gordon,SGH
6-Dec-13,Addition,(SKC) Skycity Entertainment Group,SKC
6-Dec-13,Addition,(VRL) Village Roadshow,VRL
6-Dec-13,Addition,(VRT) Virtus Health,VRT
6-Dec-13,Removal,(BLY) Borat Longyear,BLY
6-Dec-13,Removal,(CDU) Cudeco,CDU
6-Dec-13,Removal,(FWD) Fleetwood Corporation,FWD
6-Dec-13,Removal,(KCN) Kingsgate Consolidated,KCN
6-Dec-13,Removal,(OGC) OceanaGold Corporation,OGC
6-Dec-13,Removal,(SBM) St Barbara,SBM
6-Dec-13,Removal,(SDL) Sundance,SDL
8-Nov-13,Addition,(KMD) Kathmandu Holdings,KMD
8-Nov-13,Removal,(LNC) Linc Energy,LNC
6-Sep-13,Addition,(CMW) Cromwell Property,CMW
6-Sep-13,Addition,(FGE) Forge Group,FGE
6-Sep-13,Addition,(SGN) STW Communications Group,SGN
6-Sep-13,Addition,(SKT) Sky Network Television,SKT
6-Sep-13,Removal,(BBG) Billabong International,BBG
6-Sep-13,Removal,(DML) Discovery Metals,DML
6-Sep-13,Removal,(EHL) Emeco Holdings,EHL
6-Sep-13,Removal,(FKP) Property Group,FKP
6-Sep-13,Removal,(MDL) Mineral Deposits,MDL
7-Jun-13,Addition,(AHE) Automotive Holdings Group,AHE
7-Jun-13,Addition,(DMP) Domino's Pizza Enterprises,DMP
7-Jun-13,Addition,(GEM) G8 Education,GEM
7-Jun-13,Addition,(LNC) Linc Energy,LNC
7-Jun-13,Addition,(REA) REA Group,REA
7-Jun-13,Addition,(SIR) Sirius Resources,SIR
7-Jun-13,Removal,(AIX) Australian Infrastructure Fund,AIX
7-Jun-13,Removal,(CPL) Coalspur Mines,CPL
7-Jun-13,Removal,(IMD) Imdex,IMD
7-Jun-13,Removal,(MAD) Maverick Drilling & Exploration,MAD
7-Jun-13,Removal,(MBN) Mirabela Nickel,MBN
7-Jun-13,Removal,(TRY) Troy Resources,TRY
1-Mar-13,Addition,(HZN) Horizon Oil,HZN
1-Mar-13,Addition,(MFG) Magellan Financial Group,MFG
1-Mar-13,Addition,(PMV) Premier Investments,PMV
1-Mar-13,Addition,(TME) Trade Me Group,TME
1-Mar-13,Removal,(BTU) Bathurst Resources,BTU
1-Mar-13,Removal,(GBG) Gindalbie Metals,GBG
1-Mar-13,Removal,(GRY) Gryphon Minerals,GRY
1-Mar-13,Removal,(SAR) Saracen Mineral Holdings,SAR
7-Dec-12,Addition,(IIN) iiNet,IIN
7-Dec-12,Addition,(MAD) Maverick Drilling & Exploration,MAD
7-Dec-12,Addition,(MMS) McMillan Shakespeare,MMS
7-Dec-12,Removal,(APN) APN News & Media,APN
7-Dec-12,Removal,(IAU) Intrepid Mines,IAU
7-Dec-12,Removal,(LNC) Linc Energy,LNC
7-Dec-12,Removal,(MAH) Macmahon Holdings,MAH
7-Sep-12,Addition,(DLS) Drillsearch Energy,DLS
7-Sep-12,Addition,(SAI) SAI Global,SAI
7-Sep-12,Addition,(SKE) Skilled Group,SKE
7-Sep-12,Removal,(AQP) Aquarius Platinum,AQP
7-Sep-12,Removal,(PAN) Panoramic Resources,PAN
7-Sep-12,Removal,(RMS) Ramelius Resources,RMS
20-Jul-12,Addition,(FXL) FlexiGroup,FXL
20-Jul-12,Removal,(SPT) Spotless Group,SPT
20-Jun-12,Addition,(BRU) Buru Energy,BRU
20-Jun-12,Removal,(GCL) Gloucester Coal,GCL
1-Jun-12,Addition,(CDD) Cardno,CDD
1-Jun-12,Addition,(MTU) M2 Telecommunications Group,MTU
1-Jun-12,Removal,(DTE) Dart Energy,DTE
1-Jun-12,Removal,(ERA) Energy Resources of Australia,ERA
12-Apr-12,Addition,(DCG) Decmil Group,DCG
12-Apr-12,Addition,(TRY) Troy Resources,TRY
12-Apr-12,Removal,(CQO) Charter Hall Office REIT,CQO
12-Apr-12,Removal,(AZT) Aston Resources,AZT
5-Apr-12,Addition,(SXY) Senex Energy,SXY
5-Apr-12,Removal,(AUN) Austar United Communications,AUN
21-Mar-12,Addition,(SUL) Super Retail Group,SUL
21-Mar-12,Removal,(EXT) Extract Resources,EXT
2-Mar-12,Addition,(CRF) Centro Retail,CRF
2-Mar-12,Addition,(EVN) Evolution Mining,EVN
2-Mar-12,Addition,(SUL) Super Retail Group,SUL
2-Mar-12,Removal,(KZL) Kagara,KZL
2-Mar-12,Removal,(WEC) White Energy Company,WEC
2-Dec-11,Addition,(IGR) Integra Mining,IGR
2-Dec-11,Addition,(IMD) Imdex,IMD
2-Dec-11,Addition,(RMS) Ramelius Resources,RMS
2-Dec-11,Addition,(SLR) Silver Lake Resources,SLR
2-Dec-11,Removal,(CNU) Chorus,CNU
2-Dec-11,Removal,(GNS) Gunns,GNS
2-Dec-11,Removal,(MMX) Murchison Metals,MMX
2-Dec-11,Removal,(OMH) OM Holdings,OMH
25-Nov-11,Removal,(FGL) Foster's Group,FGL
11-Nov-11,Addition,(CNU) Chorus,CNU
26-Oct-11,Addition,(IDL) Industrea,IDL
26-Oct-11,Addition,(MDL) Mineral Deposits,MDL
26-Oct-11,Removal,(MCC) Macarthur Coal,MCC
26-Oct-11,Removal,(ESG) Eastern Star Gas,ESG
2-Sep-11,Addition,(QUB) Qube Logistics Holdings,QUB
2-Sep-11,Addition,(ACR) Acrux,ACR
2-Sep-11,Removal,(IFN) Infigen Energy,IFN
2-Sep-11,Removal,(HIL) Hills Holdings,HIL
3-Jun-11,Addition,(AZT) Aston Resources,AZT
3-Jun-11,Addition,(BTU) Bathurst Resources,BTU
3-Jun-11,Addition,(CPB) Campbell Brothers,CPB
3-Jun-11,Addition,(NWH) NRW Holdings,NWH
3-Jun-11,Removal,(CVN) Carnarvon Petroleum,CVN
3-Jun-11,Removal,(EAU) Eldorado Gold Corporation,EAU
3-Jun-11,Removal,(MCR) Mincor Resources,MCR
3-Jun-11,Removal,(ROC) ROC Oil Company,ROC
2-Jun-11,Removal,(EQN) Equinox Minerals,EQN
27-May-11,Addition,(EGP) Echo Entertainment Group,EGP
2-May-11,Addition,(TWE) Treasury Wines Estates,TWE
2-May-11,Removal,(HST) Hastie Group,HST
15-Apr-11,Removal,(MSB) Mesoblast,MSB
15-Apr-11,Removal,(TAL) Tower Australia Group,TAL
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
