Date,Action,Company,Ticker
16-Mar-20,Addition,United Malt Group (UMG),UMG
13-Dec-19,Addition,AP Eagers (APE),APE
13-Dec-19,Addition,Ingenia Communities Group (INA),INA
13-Dec-19,Removal,Galaxy Resources (GXY),GXY
13-Dec-19,Removal,Speedcast International (SDA),SDA
5-Dec-19,Addition,EML Paymentsl (EML),EML
5-Dec-19,Removal,Bellamy's Australia (BAL),BAL
7-Nov-19,Addition,Avita Medical (AVH),AVH
7-Nov-19,Removal,Aveo Group (AOG),AOG
23-Sep-19,Addition,Silver Lake Resources (SLR),SLR
23-Sep-19,Addition,Polynovo (PNV),PNV
23-Sep-19,Addition,Netwealth Group (NWL),NWL
23-Sep-19,Addition,Jumbo Interactive (JIN),JIN
23-Sep-19,Addition,Gold Road Resources (GOR),GOR
23-Sep-19,Addition,Collins Foods (CKF),CKF
23-Sep-19,Removal,Ardent Leisure Group (ALG),ALG
23-Sep-19,Removal,Australian Pharmaceutical Industries (API),API
23-Sep-19,Removal,Eclipx Group (ECX),ECX
23-Sep-19,Removal,Emeco Holdings (EHL),EHL
23-Sep-19,Removal,Pact Group Holdings (PGH),PGH
23-Sep-19,Removal,Sigma Healthcare (SIG),SIG
31-Jul-19,Addition,Pro Medicus (PME),PME
31-Jul-19,Removal,DuluxGroup (DLX),DLX
24-Jun-19,Addition,Clinuvel Pharmaceuticals (CUV),CUV
24-Jun-19,Addition,Service Stream (SSM),SSM
24-Jun-19,Addition,Austal (ASB),ASB
24-Jun-19,Removal,Seven West Media (SWM),SWM
24-Jun-19,Removal,Syrah Resources (SYR),SYR
24-Jun-19,Removal,Navitas (NVT),NVT
15-Apr-19,Addition,Nearmap Ltd (NEA),NEA
15-Apr-19,Removal,MYOB Group (MYO),MYO
8-Mar-19,Addition,Pinnacle Investment Management Group (PNI),PNI
8-Mar-19,Addition,HUB24 (HUB),HUB
8-Mar-19,Removal,Infigen (IFN),IFN
8-Mar-19,Removal,Automotive Holdings Group (AHG),AHG
29-Nov-18,Addition,New Hope Corporation (NHC),NHC
29-Nov-18,Removal,Investa Office Fund (IOF),IOF
21-Nov-18,Removal,Fairfax Media (FXJ),FXJ
14-Nov-18,Addition,Coles Group (COL),COL
11-Oct-18,Addition,Bravura Solutions (BVS),BVS
11-Oct-18,Removal,APN Outdoor Group (APO),APO
4-Oct-18,Addition,Emeco Holdings (EHL),EHL
4-Oct-18,Removal,Gateway Lifestyle Group (GTY),GTY
10-Sep-18,Addition,Viva Energy Group (VEA),VEA
10-Sep-18,Removal,Sirtex Medical (SRX),SRX
7-Sep-18,Addition,Bingo Industries (BIN),BIN
7-Sep-18,Addition,Elders (ELD),ELD
7-Sep-18,Removal,Genworth Mortgage Insurance Australia (GMA),GMA
7-Sep-18,Removal,Greencross (GXL),GXL
31-Aug-18,Addition,Elders (ELD),ELD
31-Aug-18,Removal,Investa Office Fund (IOF),IOF
8-Jun-18,Addition,Afterpay Touch Group (APT),APT
8-Jun-18,Addition,Appen (APX),APX
8-Jun-18,Addition,Inghams Group (ING),ING
8-Jun-18,Removal,Asaleo Care (AHY),AHY
8-Jun-18,Removal,Iron Mountain Incorporated (INM),INM
8-Jun-18,Removal,Retail Food Group (RFG),RFG
24-May-18,Addition,Unibail-Rodamco-Westfield CDIs (URW),URW
24-May-18,Addition,OneMarket Limited (OMN),OMN
24-May-18,Removal,Westfield Corporation (WFD),WFD
18-May-18,Addition,IDP Education (IEL),IEL
18-May-18,Removal,Mantra Group (MTR),MTR
3-May-18,Addition,IDP Education (IEL),IEL
3-May-18,Removal,Sirtex Medical (SRX),SRX
