,Date,Ticker
0,2020-03-23,NEW
1,2020-03-23,IWF
2,2020-03-23,ESG
3,2020-03-23,ADR
4,2020-03-23,ESG
5,2020-03-23,JON
6,2020-03-23,FOR
7,2020-03-16,GNC
8,2020-03-16,UMG
9,2020-03-16,FOR
10,2020-03-13,NEW
11,2020-03-13,IWF
12,2020-03-13,SDE
13,2020-03-13,FOR
14,2019-12-13,APE
15,2019-12-13,INA
16,2019-12-13,GXY
17,2019-12-13,SDA
18,2019-12-13,FOR
19,2019-12-05,BAL
20,2019-12-05,EML
21,2019-12-05,EML
22,2019-12-05,FOR
23,2019-11-07,AOG
24,2019-11-07,AVH
25,2019-11-07,FOR
26,2019-09-06,CKF
27,2019-09-06,GOR
28,2019-09-06,JIN
29,2019-09-06,NWL
30,2019-09-06,PNV
31,2019-09-06,SLR
32,2019-09-06,ALG
33,2019-09-06,API
34,2019-09-06,ECX
35,2019-09-06,EHL
36,2019-09-06,PGH
37,2019-09-06,SIG
38,2019-09-06,FOR
39,2019-07-31,DLX
40,2019-07-31,PME
41,2019-07-31,FOR
42,2019-06-14,NVT
43,2019-06-14,ASB
44,2019-06-14,GOR
45,2019-06-14,CUV
46,2019-06-14,SSM
47,2019-06-14,ASB
48,2019-06-14,SWM
49,2019-06-14,SYR
50,2019-06-14,NVT
51,2019-06-14,NVT
52,2019-06-14,FOR
53,2019-04-15,MYO
54,2019-04-15,KKR
55,2019-04-15,KKR
56,2019-04-15,NEA
57,2019-04-15,FOR
58,2019-03-08,PNI
59,2019-03-08,HUB
60,2019-03-08,HUB
61,2019-03-08,IFN
62,2019-03-08,AHG
63,2019-03-08,FOR
64,2018-12-14,FOR
65,2018-11-29,IOF
66,2018-11-29,NHC
67,2018-11-29,FOR
68,2018-11-21,FXJ
69,2018-11-21,NEC
70,2018-11-21,COL
71,2018-11-21,WES
72,2018-11-21,FOR
73,2018-11-14,WES
74,2018-11-14,COL
75,2018-11-14,FOR
76,2018-10-11,APN
77,2018-10-11,APN
78,2018-10-11,APO
79,2018-10-11,JCD
80,2018-10-11,DEC
81,2018-10-11,APN
82,2018-10-11,APN
83,2018-10-11,BVS
84,2018-10-11,FOR
85,2018-10-04,GTY
86,2018-10-04,EHL
87,2018-10-04,FOR
88,2018-09-10,SRX
89,2018-09-10,VEA
90,2018-09-10,FOR
91,2018-09-07,BIN
92,2018-09-07,ELD
93,2018-09-07,GMA
94,2018-09-07,GXL
95,2018-09-07,FOR
96,2018-09-05,IOF
97,2018-09-05,ELD
98,2018-09-05,FOR
99,2018-08-31,IOF
100,2018-08-31,ELD
101,2018-08-31,FOR
102,2018-06-08,APT
103,2018-06-08,APX
104,2018-06-08,ING
105,2018-06-08,AHY
106,2018-06-08,INM
107,2018-06-08,RFG
108,2018-06-08,FTP
109,2018-06-08,FOR
110,2018-05-24,MAY
111,2018-05-24,AMS
112,2018-05-24,WFD
113,2018-05-24,CDI
114,2018-05-24,URW
115,2018-05-24,OMN
116,2018-05-24,CDI
117,2018-05-24,CDI
118,2018-05-24,FOR
119,2018-05-18,MAY
120,2018-05-18,MTR
121,2018-05-18,PAR
122,2018-05-18,IDP
123,2018-05-18,IEL
124,2018-05-18,FOR
125,2018-05-07,MAY
126,2018-05-07,SRX
127,2018-05-07,VAR
128,2018-05-07,IDP
129,2018-05-07,IEL
130,2018-05-07,FOR
131,2018-05-03,MAY
132,2018-05-03,SRX
133,2018-05-03,VAR
134,2018-05-03,IDP
135,2018-05-03,IEL
136,2018-05-03,FOR
137,2018-03-09,ASL
138,2018-03-09,BAL
139,2018-03-09,SIQ
140,2018-03-09,XRO
141,2018-03-09,AAC
142,2018-03-09,MYR
143,2018-03-09,FTP
144,2018-03-09,FOR
145,2017-12-08,LYC
146,2017-12-08,PLS
147,2017-12-08,WTC
148,2017-12-08,FXL
149,2017-12-08,JHC
150,2017-12-08,REG
151,2017-12-08,FTP
152,2017-12-08,FOR
153,2017-12-08,ORE
154,2017-12-06,TTS
155,2017-12-06,TAH
156,2017-12-06,FXJ
157,2017-12-06,DHG
158,2017-12-06,FOR
159,2017-12-06,ION
160,2017-11-07,FXJ
161,2017-11-07,DHA
162,2017-11-07,FOR
163,2017-09-01,SEP
164,2017-09-01,CLW
165,2017-09-01,NHF
166,2017-09-01,NIB
167,2017-09-01,SOL
168,2017-09-01,ISD
169,2017-09-01,SKT
170,2017-09-01,VRT
171,2017-09-01,FTP
172,2017-09-01,FOR
173,2017-07-28,SPO
174,2017-07-28,EDI
175,2017-07-28,OML
176,2017-07-28,FOR
177,2017-06-09,JUN
178,2017-06-09,SDA
179,2017-06-09,BAL
180,2017-06-09,FTP
181,2017-06-09,FOR
182,2017-04-21,DUE
183,2017-04-21,CNU
184,2017-04-21,FOR
185,2016-12-09,NAN
186,2016-12-09,OFX
187,2016-12-09,OFX
188,2016-12-09,FTP
189,2016-12-09,FOR
190,2016-12-05,SAI
191,2016-12-05,SAI
192,2016-12-05,SAI
193,2016-12-05,SAI
194,2016-12-05,SAI
195,2016-12-05,VVR
196,2016-12-05,FOR
197,2016-09-02,GXY
198,2016-09-02,IFN
199,2016-09-02,NXT
200,2016-09-02,ORE
201,2016-09-02,RSG
202,2016-09-02,WEB
203,2016-09-02,ASB
204,2016-09-02,CVO
205,2016-09-02,MSB
206,2016-09-02,PRG
207,2016-09-02,SHV
208,2016-09-02,VRL
209,2016-09-02,FTP
210,2016-09-02,FOR
211,2016-07-22,AIO
212,2016-07-22,RWC
213,2016-07-22,FOR
214,2016-06-21,PBG
215,2016-06-21,ECX
216,2016-06-21,FOR
217,2016-06-17,APN
218,2016-06-17,APN
219,2016-06-17,APN
220,2016-06-17,APN
221,2016-06-17,APN
222,2016-06-17,APN
223,2016-06-17,FOR
224,2016-06-10,LNG
225,2016-06-10,FTP
226,2016-06-10,FOR
227,2016-05-03,MAY
228,2016-05-03,BRS
229,2016-05-03,SAR
230,2016-05-03,FOR
231,2016-04-14,REC
232,2016-04-14,IRM
233,2016-04-14,INM
234,2016-04-14,LLC
235,2016-04-14,LLC
236,2016-04-14,LLC
237,2016-04-14,LLC
238,2016-03-11,ACX
239,2016-03-11,BAL
240,2016-03-11,BKW
241,2016-03-11,IPH
242,2016-03-11,IPH
243,2016-03-11,SBM
244,2016-03-11,AWE
245,2016-03-11,AWE
246,2016-03-11,CAB
247,2016-03-11,KAR
248,2016-03-11,SGH
249,2016-03-11,TEN
250,2016-03-11,FTP
251,2016-03-11,LLC
252,2016-03-11,LLC
253,2016-03-11,LLC
254,2016-03-11,LLC
255,2016-02-04,VED
256,2016-02-04,LNK
257,2016-02-04,LLC
258,2016-02-04,LLC
259,2016-02-04,LLC
260,2016-02-04,LLC
261,2016-02-01,MTU
262,2016-02-01,VOC
263,2016-02-01,NAB
264,2016-02-01,PLC
265,2016-02-01,CYB
266,2016-02-01,LLC
267,2016-02-01,LLC
268,2016-02-01,LLC
269,2016-01-25,NAB
270,2016-01-25,PLC
271,2016-01-25,CYB
272,2016-01-25,PLC
273,2016-01-25,PLC
274,2016-01-25,LLC
275,2016-01-25,LLC
276,2016-01-25,LLC
277,2015-12-04,API
278,2015-12-04,APO
279,2015-12-04,APN
280,2015-12-04,CGC
281,2015-12-04,ISD
282,2015-12-04,PRG
283,2015-12-04,ARI
284,2015-12-04,CDD
285,2015-12-04,DLS
286,2015-12-04,DSH
287,2015-12-04,PDN
288,2015-12-04,FTP
289,2015-12-04,LLC
290,2015-12-04,LLC
291,2015-12-04,LLC
292,2015-12-04,LLC
293,2015-12-04,LLC
294,2015-12-04,LLC
295,2015-12-04,LLC
296,2015-09-04,ALU
297,2015-09-04,ASB
298,2015-09-04,BAP
299,2015-09-04,GTY
300,2015-09-04,MTR
301,2015-09-04,MYO
302,2015-09-04,AGI
303,2015-09-04,BKN
304,2015-09-04,KMD
305,2015-09-04,MRM
306,2015-09-04,MMA
307,2015-09-04,SXY
308,2015-09-04,UGL
309,2015-09-04,UGL
310,2015-09-04,FTP
311,2015-09-04,LLC
312,2015-09-04,LLC
313,2015-09-04,LLC
314,2015-09-04,LLC
315,2015-09-04,LLC
316,2015-09-04,LLC
317,2015-09-04,LLC
318,2015-09-03,SIR
319,2015-09-03,IGO
320,2015-09-03,BKL
321,2015-09-03,LLC
322,2015-09-03,LLC
323,2015-09-03,LLC
324,2015-09-03,LLC
325,2015-09-03,LLC
326,2015-09-03,LLC
327,2015-09-03,LLC
328,2015-08-20,IIN
329,2015-08-20,TPG
330,2015-08-20,TPM
331,2015-08-20,BTT
332,2015-08-20,LLC
333,2015-08-20,LLC
334,2015-08-20,LLC
335,2015-08-20,LLC
336,2015-06-05,CCP
337,2015-06-05,GOZ
338,2015-06-05,NSR
339,2015-06-05,SEA
340,2015-06-05,SGN
341,2015-06-05,STW
342,2015-06-05,SKE
343,2015-06-05,FTP
344,2015-06-05,LLC
345,2015-06-05,LLC
346,2015-06-05,LLC
347,2015-06-05,LLC
348,2015-06-05,LLC
349,2015-06-05,LLC
350,2015-06-05,LLC
351,2015-05-22,NVN
352,2015-05-22,FDC
353,2015-05-22,SGT
354,2015-05-22,CDI
355,2015-05-22,FPH
356,2015-05-22,SHV
357,2015-05-22,LLC
358,2015-05-22,LLC
359,2015-05-22,LLC
360,2015-05-22,LLC
361,2015-05-22,LLC
362,2015-05-22,LLC
363,2015-05-22,LLC
364,2015-05-15,PNA
365,2015-05-15,BHP
366,2015-05-15,BHP
367,2015-05-15,LLC
368,2015-05-15,LLC
369,2015-05-15,LLC
370,2015-05-15,LLC
371,2015-05-15,LLC
372,2015-05-15,LLC
373,2015-05-15,LLC
374,2015-05-07,BHP
375,2015-05-07,BHP
376,2015-05-07,BHP
377,2015-05-07,BHP
378,2015-05-07,BHP
379,2015-05-07,BHP
380,2015-05-07,LLC
381,2015-05-07,LLC
382,2015-05-07,LLC
383,2015-05-07,LLC
384,2015-05-07,LLC
385,2015-05-07,LLC
386,2015-05-07,LLC
387,2015-05-07,TOL
388,2015-05-07,LLC
389,2015-05-07,LLC
390,2015-05-07,LLC
391,2015-05-07,LLC
392,2015-05-07,LLC
393,2015-05-07,LLC
394,2015-05-07,LLC
395,2015-03-06,AAC
396,2015-03-06,CTD
397,2015-03-06,DSH
398,2015-03-06,EHE
399,2015-03-06,REG
400,2015-03-06,SYR
401,2015-03-06,AGO
402,2015-03-06,BCI
403,2015-03-06,BDR
404,2015-03-06,HZN
405,2015-03-06,LYC
406,2015-03-06,MGX
407,2015-03-06,FTP
408,2015-03-06,LLC
409,2015-03-06,LLC
410,2015-03-06,LLC
411,2015-03-06,LLC
412,2015-03-06,LLC
413,2015-03-06,LLC
414,2015-02-24,GFF
415,2015-02-24,MPL
416,2015-02-24,LLC
417,2015-02-24,LLC
418,2015-02-24,LLC
419,2015-02-24,LLC
