Date,Action,Code
16-Mar-20,Addition,UMG
13-Dec-19,Addition,APE
13-Dec-19,Addition,INA
13-Dec-19,Removal,GXY
13-Dec-19,Removal,SDA
5-Dec-19,Addition,EML
5-Dec-19,Removal,BAL
7-Nov-19,Addition,AVH
7-Nov-19,Removal,AOG
23-Sep-19,Addition,SLR
23-Sep-19,Addition,PNV
23-Sep-19,Addition,NWL
23-Sep-19,Addition,JIN
23-Sep-19,Addition,GOR
23-Sep-19,Addition,CKF
23-Sep-19,Removal,ALG
23-Sep-19,Removal,API
23-Sep-19,Removal,ECX
23-Sep-19,Removal,EHL
23-Sep-19,Removal,PGH
23-Sep-19,Removal,SIG
31-Jul-19,Addition,PME
31-Jul-19,Removal,DLX
24-Jun-19,Addition,CUV
24-Jun-19,Addition,SSM
24-Jun-19,Addition,ASB
24-Jun-19,Removal,SWM
24-Jun-19,Removal,SYR
24-Jun-19,Removal,NVT
15-Apr-19,Addition,NEA
15-Apr-19,Removal,MYO
8-Mar-19,Addition,PNI
8-Mar-19,Addition,HUB
8-Mar-19,Removal,IFN
8-Mar-19,Removal,AHG
29-Nov-18,Addition,NHC
29-Nov-18,Removal,IOF
21-Nov-18,Removal,FXJ
14-Nov-18,Addition,COL
11-Oct-18,Addition,BVS
11-Oct-18,Removal,APO
4-Oct-18,Addition,EHL
4-Oct-18,Removal,GTY
10-Sep-18,Addition,VEA
10-Sep-18,Removal,SRX
7-Sep-18,Addition,BIN
7-Sep-18,Addition,ELD
7-Sep-18,Removal,GMA
7-Sep-18,Removal,GXL
31-Aug-18,Addition,ELD
31-Aug-18,Removal,IOF
8-Jun-18,Addition,APT
8-Jun-18,Addition,APX
8-Jun-18,Addition,ING
8-Jun-18,Removal,AHY
8-Jun-18,Removal,INM
8-Jun-18,Removal,RFG
24-May-18,Addition,URW
24-May-18,Addition,OMN
24-May-18,Removal,WFD
18-May-18,Addition,IEL
18-May-18,Removal,MTR
3-May-18,Addition,IEL
3-May-18,Removal,SRX
19-Mar-18,Addition,ASL
19-Mar-18,Addition,BAL
19-Mar-18,Addition,SIQ
19-Mar-18,Addition,XRO
19-Mar-18,Removal,AAC
19-Mar-18,Removal,HT1
19-Mar-18,Removal,MYR
8-Dec-17,Addition,LYC
8-Dec-17,Addition,PLS
8-Dec-17,Addition,WTC
8-Dec-17,Removal,FXL
8-Dec-17,Removal,JHC
8-Dec-17,Removal,REG
6-Dec-17,Removal,TTS
7-Nov-17,Addition,DHA
1-Sep-17,Addition,CLW
1-Sep-17,Addition,NHF
1-Sep-17,Addition,SOL
1-Sep-17,Removal,ISD
1-Sep-17,Removal,SKT
1-Sep-17,Removal,VRT
28-Jul-17,Addition,OML
28-Jul-17,Removal,SPO
9-Jun-17,Addition,SDA
9-Jun-17,Removal,BAL
21-Apr-17,Addition,CNU
21-Apr-17,Removal,DUE
9-Dec-16,Addition,NAN
9-Dec-16,Removal,OFX
5-Dec-16,Addition,VVR
5-Dec-16,Removal,SAI
2-Sep-16,Addition,GXY
2-Sep-16,Addition,IFN
2-Sep-16,Addition,NXT
2-Sep-16,Addition,ORE
2-Sep-16,Addition,RSG
2-Sep-16,Addition,WEB
2-Sep-16,Removal,ASB
2-Sep-16,Removal,CVO
2-Sep-16,Removal,MSB
2-Sep-16,Removal,PRG
2-Sep-16,Removal,SHV
2-Sep-16,Removal,VRL
22-Jul-16,Addition,AIO
22-Jul-16,Removal,RWC
21-Jun-16,Addition,ECX
21-Jun-16,Removal,PBG
17-Jun-16,Addition,NZM
10-Jun-16,Addition,A2M
10-Jun-16,Removal,LNG
3-May-16,Addition,SAR
3-May-16,Removal,BRS
14-Apr-16,Addition,INM
14-Apr-16,Removal,REC
11-Mar-16,Addition,ACX
11-Mar-16,Addition,BAL
11-Mar-16,Addition,BKW
11-Mar-16,Addition,IPH
11-Mar-16,Addition,SBM
